x,y,z
0.055555556,0.458333333,8
0.055555556,0.666666667,7
0.055555556,0.875,6
0.166666667,0.875,6
0.472222222,0.604166667,7
0.472222222,0.5,5
1,0.229166667,10
1,0.520833333,9
1,0.9375,8
0.722222222,0.6875,7
0.416666667,0.375,7
0.444444444,0.364583333,11
0.416666667,0.333333333,15
0.416666667,0.322916667,14
0.416666667,0.3125,21
0.416666667,0.302083333,21
0.402777778,0.291666667,16
0.5,0.260416667,29
0.5,0.239583333,22
0.5,0.21875,14
0.555555556,0.21875,11
0.611111111,0.21875,7
0.611111111,0.229166667,5
0.611111111,0.333333333,1
0.611111111,0.354166667,10
0.597222222,0.322916667,4
0.597222222,0.395833333,10
0.569444444,0.375,13
0.555555556,0.375,18
0.666666667,0.291666667,6
0.305555556,0.895833333,7
0.305555556,0.854166667,5
0.388888889,0.854166667,6
0.388888889,0.833333333,5
0.5,0.854166667,10
0.5,0.8125,5
0.597222222,0.875,7
0.597222222,0.833333333,6
0.708333333,0.895833333,12
0.708333333,0.875,7
0.291666667,0.958333333,7
0.291666667,1,8
0.388888889,0.979166667,11
0.388888889,0.989583333,5
0.486111111,0.979166667,10
0.486111111,0.989583333,9
0.611111111,0.958333333,7
0.611111111,0.979166667,6
0.722222222,0.916666667,11
0.722222222,0.9375,7
