x,y,z
1580,80,100
20,220,-8
20,320,-7
20,420,-6
60,420,-6
170,290,-7
170,240,-5
360,110,-10
360,250,-9
360,450,-8
260,330,-7
150,180,-7
160,175,-11
150,160,-15
150,155,-14
150,150,-21
150,145,-21
145,140,-16
180,125,-29
180,115,-22
180,105,-14
200,105,-11
220,105,-7
220,110,-5
220,160,-1
220,170,-10
215,155,-4
215,190,-10
205,180,-13
200,180,-18
240,140,-6
110,430,-7
110,410,-5
140,410,-6
140,400,-5
180,410,-10
180,390,-5
215,420,-7
215,400,-6
255,430,-12
255,420,-7
105,460,-7
105,480,-8
140,470,-11
140,475,-5
175,470,-10
175,475,-9
220,460,-7
220,470,-6
260,440,-11
260,450,-7
0.0,0.0,0.392
0.1989700043360188,0.0,0.496
0.3494850021680094,0.0,0.5
0.5000000000000002,0.0,0.5
0.6989700043360192,0.0,0.5
0.8494850021680096,0.0,0.5
1.0000000000000002,0.0,0.5
0.0,0.2631578947368421,0.2859999999999999
0.1989700043360188,0.2631578947368421,0.472
0.3494850021680094,0.2631578947368421,0.494
0.5000000000000002,0.2631578947368421,0.5
0.6989700043360192,0.2631578947368421,0.5
0.8494850021680096,0.2631578947368421,0.5
1.0000000000000002,0.2631578947368421,0.5
0.0,0.5263157894736842,0.09399999999999996
0.1989700043360188,0.5263157894736842,0.30400000000000005
0.3494850021680094,0.5263157894736842,0.4340000000000001
0.5000000000000002,0.5263157894736842,0.496
0.6989700043360192,0.5263157894736842,0.5
0.8494850021680096,0.5263157894736842,0.5
1.0000000000000002,0.5263157894736842,0.5
0.0,0.631578947368421,-0.035999999999999976
0.1989700043360188,0.631578947368421,0.118
0.3494850021680094,0.631578947368421,0.30799999999999994
0.5000000000000002,0.631578947368421,0.46
0.6989700043360192,0.631578947368421,0.5
0.8494850021680096,0.631578947368421,0.5
1.0000000000000002,0.631578947368421,0.5
0.0,0.7368421052631579,-0.05199999999999999
0.1989700043360188,0.7368421052631579,-0.04199999999999998
0.3494850021680094,0.7368421052631579,0.12
0.5000000000000002,0.7368421052631579,0.32799999999999996
0.6989700043360192,0.7368421052631579,0.48
0.8494850021680096,0.7368421052631579,0.5
1.0000000000000002,0.7368421052631579,0.5
0.0,0.8421052631578948,-0.212
0.1989700043360188,0.8421052631578948,-0.192
0.3494850021680094,0.8421052631578948,-0.12
0.5000000000000002,0.8421052631578948,0.0040000000000000036
0.6989700043360192,0.8421052631578948,0.2659999999999999
0.8494850021680096,0.8421052631578948,0.43799999999999994
1.0000000000000002,0.8421052631578948,0.496
0.0,0.9473684210526316,-0.32
0.1989700043360188,0.9473684210526316,-0.362
0.3494850021680094,0.9473684210526316,-0.348
0.5000000000000002,0.9473684210526316,-0.35200000000000004
0.6989700043360192,0.9473684210526316,-0.304
0.8494850021680096,0.9473684210526316,-0.247
1.0000000000000002,0.9473684210526316,-0.14500000000000002
0.0,1.0,-0.328
0.1989700043360188,1.0,-0.414
0.3494850021680094,1.0,-0.454
0.5000000000000002,1.0,-0.46
0.6989700043360192,1.0,-0.478
0.8494850021680096,1.0,-0.474180734856008
1.0000000000000002,1.0,-0.49
